,N,c,n,replicate,th
155,40.0,0.79625,5.0,5.0,0.1482758620689655
156,40.0,0.750625,5.0,6.0,0.1482758620689655
157,40.0,0.76,5.0,7.0,0.1482758620689655
158,40.0,0.73875,5.0,8.0,0.1482758620689655
159,40.0,0.755625,5.0,9.0,0.1482758620689655
160,40.0,0.6925,5.0,10.0,0.1482758620689655
161,40.0,0.730625,5.0,11.0,0.1482758620689655
162,40.0,0.7175,5.0,12.0,0.1482758620689655
163,40.0,0.80625,5.0,13.0,0.1482758620689655
164,40.0,0.759375,5.0,14.0,0.1482758620689655
165,40.0,0.72875,5.0,15.0,0.1482758620689655
166,40.0,0.706875,5.0,16.0,0.1482758620689655
167,40.0,0.69875,5.0,17.0,0.1482758620689655
168,40.0,0.758125,5.0,18.0,0.1482758620689655
169,40.0,0.71875,5.0,19.0,0.1482758620689655
170,40.0,0.754375,5.0,20.0,0.1482758620689655
171,40.0,0.800625,5.0,21.0,0.1482758620689655
172,40.0,0.790625,5.0,22.0,0.1482758620689655
173,40.0,0.72875,5.0,23.0,0.1482758620689655
174,40.0,0.773125,5.0,24.0,0.1482758620689655
175,40.0,0.76125,5.0,25.0,0.1482758620689655
176,40.0,0.74875,5.0,26.0,0.1482758620689655
177,40.0,0.76375,5.0,27.0,0.1482758620689655
178,40.0,0.756875,5.0,28.0,0.1482758620689655
179,40.0,0.69,5.0,29.0,0.1482758620689655
180,40.0,0.738125,5.0,30.0,0.1482758620689655
181,40.0,0.755,5.0,31.0,0.1482758620689655
182,40.0,0.739375,5.0,32.0,0.1482758620689655
183,40.0,0.78625,5.0,33.0,0.1482758620689655
184,40.0,0.748125,5.0,34.0,0.1482758620689655
185,40.0,0.72125,5.0,35.0,0.1482758620689655
186,40.0,0.76875,5.0,36.0,0.1482758620689655
187,40.0,0.775,5.0,37.0,0.1482758620689655
188,40.0,0.7325,5.0,38.0,0.1482758620689655
189,40.0,0.788125,5.0,39.0,0.1482758620689655
190,40.0,0.71375,5.0,40.0,0.1482758620689655
191,40.0,0.78125,5.0,41.0,0.1482758620689655
192,40.0,0.793125,5.0,42.0,0.1482758620689655
193,40.0,0.779375,5.0,43.0,0.1482758620689655
194,40.0,0.77625,5.0,44.0,0.1482758620689655
195,40.0,0.735,5.0,45.0,0.1482758620689655
196,40.0,0.74875,5.0,46.0,0.1482758620689655
197,40.0,0.748125,5.0,47.0,0.1482758620689655
198,40.0,0.7375,5.0,48.0,0.1482758620689655
199,40.0,0.679375,5.0,49.0,0.1482758620689655
200,40.0,0.743125,5.0,0.0,0.18103448275862066
201,40.0,0.740625,5.0,1.0,0.18103448275862066
202,40.0,0.805625,5.0,2.0,0.18103448275862066
203,40.0,0.72,5.0,3.0,0.18103448275862066
204,40.0,0.703125,5.0,4.0,0.18103448275862066
205,40.0,0.73,5.0,5.0,0.18103448275862066
206,40.0,0.695,5.0,6.0,0.18103448275862066
207,40.0,0.67625,5.0,7.0,0.18103448275862066
208,40.0,0.7,5.0,8.0,0.18103448275862066
209,40.0,0.683125,5.0,9.0,0.18103448275862066
210,40.0,0.705625,5.0,10.0,0.18103448275862066
211,40.0,0.73375,5.0,11.0,0.18103448275862066
212,40.0,0.75125,5.0,12.0,0.18103448275862066
213,40.0,0.76,5.0,13.0,0.18103448275862066
214,40.0,0.735625,5.0,14.0,0.18103448275862066
215,40.0,0.746875,5.0,15.0,0.18103448275862066
216,40.0,0.75875,5.0,16.0,0.18103448275862066
217,40.0,0.785625,5.0,17.0,0.18103448275862066
